key,english,before,after,reason
app.inbox.agentPolicy.modes.allowlistTitle,Only chosen agents,仅限选定的 Agent,仅限选定的智能体,agent-skill-display
app.inbox.agentPolicy.modes.allowlistDescription,Restrict inbox tidying to the agents you pick below.,仅允许你在下方选择的 Agent 整理收件箱。,仅允许你在下方选择的智能体整理收件箱。,agent-skill-display
app.inbox.agentPolicy.modes.disabledDescription,Agents can never archive tasks from your inbox.,Agent 永远无法从你的收件箱中归档任务。,智能体永远无法从你的收件箱中归档任务。,agent-skill-display
app.inbox.agentPolicy.loadFailed,Failed to load inbox agent policy.,加载收件箱 Agent 策略失败。,加载收件箱智能体策略失败。,agent-skill-display
app.inbox.agentPolicy.loading,Loading inbox agent policy…,正在加载收件箱 Agent 策略…,正在加载收件箱智能体策略…,agent-skill-display
app.inbox.agentPolicy.title,Let agents tidy my inbox,允许 Agent 整理我的收件箱,允许智能体整理我的收件箱,agent-skill-display
app.inbox.agentPolicy.description,"Choose whether the agents you manage may archive tasks out of your inbox on your behalf. You can undo any archive, and every agent archive is attributed in the task's properties.",选择你管理的 Agent 是否可以代你将任务从收件箱中归档。你可以撤销任何归档，且每次 Agent 归档都会在任务属性中注明来源。,选择你管理的智能体是否可以代你将任务从收件箱中归档。你可以撤销任何归档，且每次智能体归档都会在任务属性中注明来源。,agent-skill-display
app.inbox.agentPolicy.policyAriaLabel,Inbox agent archiving policy,收件箱 Agent 归档策略,收件箱智能体归档策略,agent-skill-display
app.inbox.agentPolicy.allowedAgents,Agents allowed to tidy my inbox,允许整理我收件箱的 Agent,允许整理我收件箱的智能体,agent-skill-display
app.inbox.agentPolicy.selectAgents,Select agents,选择 Agent,选择智能体,agent-skill-display
app.inbox.agentPolicy.agentsSelectedOne,{{count}} agent selected,已选择 {{count}} 个 Agent,已选择 {{count}} 个智能体,agent-skill-display
app.inbox.agentPolicy.agentsSelectedMany,{{count}} agents selected,已选择 {{count}} 个 Agent,已选择 {{count}} 个智能体,agent-skill-display
app.inbox.agentPolicy.noAgents,You don’t manage any agents yet.,你还没有管理任何 Agent。,你还没有管理任何智能体。,agent-skill-display
app.inbox.agentPolicy.saveFailed,Failed to save inbox agent policy.,保存收件箱 Agent 策略失败。,保存收件箱智能体策略失败。,agent-skill-display
app.inbox.rows.agentJoinRequest,Agent join request,Agent 加入申请,智能体加入申请,agent-skill-display
app.inbox.rows.agentJoinRequestNamed,Agent join request: {{name}},Agent 加入申请：{{name}},智能体加入申请：{{name}},agent-skill-display
app.inbox.filterFeedback.liveOnly,Live runs only — tasks currently connected to an agent run.,仅限实时运行 — 当前关联到 Agent 运行的任务。,仅限实时运行 — 当前关联到智能体运行的任务。,agent-skill-display
app.inbox.filterFeedback.activeStatuses,"Active statuses — open tasks, whether or not an agent is running.",活跃状态 — 未关闭的任务，无论是否有 Agent 在运行。,活跃状态 — 未关闭的任务，无论是否有智能体在运行。,agent-skill-display
app.inbox.alerts.agentErrorsOne,<num>{{count}}</num> agent has errors,<num>{{count}}</num> 个 Agent 出错,<num>{{count}}</num> 个智能体出错,agent-skill-display
app.inbox.alerts.agentErrorsMany,<num>{{count}}</num> agents have errors,<num>{{count}}</num> 个 Agent 出错,<num>{{count}}</num> 个智能体出错,agent-skill-display
app.projects.properties.codebaseTooltipManaged,Repo identifies the source of truth. Agents check it out in the platform-managed environment.,仓库是可信来源，Agent 会在平台托管的环境中检出它。,仓库是可信来源，智能体会在平台托管的环境中检出它。,agent-skill-display
app.projects.properties.codebaseTooltipLocal,Repo identifies the source of truth. Local folder is the default place agents write code.,仓库是可信来源，本地文件夹是 Agent 默认写入代码的位置。,仓库是可信来源，本地文件夹是智能体默认写入代码的位置。,agent-skill-display
app.projects.properties.provisionFooter,Provision runs inside the derived worktree before agent execution. Teardown is stored here for future cleanup flows.,准备命令会在 Agent 执行前于派生的 Worktree 中运行。清理命令保存在此，供后续清理流程使用。,准备命令会在智能体执行前于派生的 Worktree 中运行。清理命令保存在此，供后续清理流程使用。,agent-skill-display
app.newIssue.lowTrustReviewAgent,Low-trust review agent,低信任审查 Agent,低信任审查智能体,agent-skill-display
app.newIssue.watchdogAgent,Watchdog agent,看护 Agent,看护智能体,agent-skill-display
app.newIssue.selectAgent,Select agent,选择 Agent,选择智能体,agent-skill-display
app.newIssue.noWatchdogAgent,No watchdog agent,无看护 Agent,无看护智能体,agent-skill-display
app.newIssue.searchAgents,Search agents...,搜索 Agent…,搜索智能体…,agent-skill-display
app.newIssue.noAgentsFound,No agents found.,未找到 Agent。,未找到智能体。,agent-skill-display
app.newIssue.assigneeOptions.agent,Agent options,Agent 选项,智能体选项,agent-skill-display
app.newIssue.modelLane.primaryHint,Runs on the agent's primary model.,使用 Agent 的主模型运行。,使用智能体的主模型运行。,agent-skill-display
app.newIssue.lowTrustAssigneeNote,"Low-trust review agent. It can only act inside its assigned review boundary; task, project, or run policy defines the concrete scope.",低信任审查 Agent。它只能在分配的审核边界内操作；具体范围由任务、项目或运行策略决定。,低信任审查智能体。它只能在分配的审核边界内操作；具体范围由任务、项目或运行策略决定。,agent-skill-display
app.newIssue.properties.override.description,Task-level model override — replaces the agent's primary model for this issue.,任务级模型覆盖 — 为此任务替换 Agent 的主模型。,任务级模型覆盖 — 为此任务替换智能体的主模型。,agent-skill-display
app.newIssue.properties.override.descriptionWithDetails,Task-level model override — replaces the agent's primary model for this issue. ({{details}}),任务级模型覆盖 — 为此任务替换 Agent 的主模型。（{{details}}）,任务级模型覆盖 — 为此任务替换智能体的主模型。（{{details}}）,agent-skill-display
app.newIssue.properties.override.selectCompatibleAssignee,Select a compatible assignee agent to edit these overrides.,请选择兼容的负责人 Agent 以编辑这些覆盖。,请选择兼容的负责人智能体以编辑这些覆盖。,agent-skill-display
app.newIssue.properties.monitor.notesPlaceholder,What should the agent re-check?,Agent 应重新检查什么？,智能体应重新检查什么？,agent-skill-display
app.newIssue.properties.retry.agent,Agent,Agent,智能体,agent-skill-display
app.newIssue.properties.assignee.agents,Agents,Agent,智能体,agent-skill-display
app.newIssue.properties.artifacts.empty,"No artifacts yet. Work products, documents, and agent-produced files will appear here.",暂无工件。工作成果、文档和 Agent 生成的文件将显示在这里。,暂无产物。工作产物、文档和智能体生成的文件将显示在这里。,agent-skill-display;contextual-correction
app.issues.columns.description.assignee,Responsible agent or board user.,负责的 Agent 或 Board 用户。,负责的智能体或 Board 用户。,agent-skill-display
app.issues.columns.description.kickedOffBy,Board user or agent who created the task.,创建该任务的 Board 用户或 Agent。,创建该任务的 Board 用户或智能体。,agent-skill-display
app.agents.newAgent.breadcrumb,New agent,新建 Agent,新建智能体,agent-skill-display
app.agents.list.selectOrganization,Select an organization to view agents.,选择一个组织以查看 Agent。,选择一个组织以查看智能体。,agent-skill-display
app.agents.list.viewToggle,Agent view,Agent 视图,智能体视图,agent-skill-display
app.agents.list.newAgent,New Agent,新建 Agent,新建智能体,agent-skill-display
app.agents.list.countOne,{{count}} agent,{{count}} 个 Agent,{{count}} 个智能体,agent-skill-display
app.agents.list.countMany,{{count}} agents,{{count}} 个 Agent,{{count}} 个智能体,agent-skill-display
app.agents.list.empty.createFirst,Create your first agent to get started.,创建你的第一个 Agent 以开始使用。,创建你的第一个智能体以开始使用。,agent-skill-display
app.agents.list.empty.noMatch,No agents match the selected status.,没有符合所选状态的 Agent。,没有符合所选状态的智能体。,agent-skill-display
app.agents.config.bootstrapPromptWarning,Bootstrap prompt is legacy and will be removed in a future release. Consider moving this content into the agent's prompt template or instructions file instead.,引导提示词为旧版功能，将在未来版本中移除。建议将这些内容移到 Agent 的提示词模板或指令文件中。,引导提示词为旧版功能，将在未来版本中移除。建议将这些内容移到智能体的提示词模板或指令文件中。,agent-skill-display
app.agents.config.placeholders.agentName,Agent name,Agent 名称,智能体名称,agent-skill-display
app.agents.config.environment.kubernetesForcedHint,This instance runs all agents in the Kubernetes sandbox. Local execution is disabled.,此实例在 Kubernetes 沙箱中运行所有 Agent，已禁用本地执行。,此实例在 Kubernetes 沙箱中运行所有智能体，已禁用本地执行。,agent-skill-display
app.agents.config.environment.kubernetesMissing,"This instance requires the Kubernetes sandbox, but no managed Kubernetes environment is available for this organization yet. Configure one before creating agents; execution will not fall back to local.",此实例要求使用 Kubernetes 沙箱，但该组织还没有可用的托管 Kubernetes 环境。请在创建 Agent 前先配置一个；执行不会回退到本地。,此实例要求使用 Kubernetes 沙箱，但该组织还没有可用的托管 Kubernetes 环境。请在创建智能体前先配置一个；执行不会回退到本地。,agent-skill-display
app.agents.config.login.binding,Binding this agent to the signed-in account...,正在将此 Agent 绑定到已登录的账户…,正在将此智能体绑定到已登录的账户…,agent-skill-display
app.agents.config.login.bound,Agent bound to the signed-in account.,Agent 已绑定到已登录的账户。,智能体已绑定到已登录的账户。,agent-skill-display
app.agents.config.login.bindFailed,Could not bind this agent to the signed-in account.,无法将此 Agent 绑定到已登录的账户。,无法将此智能体绑定到已登录的账户。,agent-skill-display
app.agents.config.login.savedLoginHint,"You have a saved Claude login. Use it to bind this agent, or log in again to replace the stored token.",你有一个已保存的 Claude 登录。可以用它绑定此 Agent，或重新登录以替换已存储的 Token。,你有一个已保存的 Claude 登录。可以用它绑定此智能体，或重新登录以替换已存储的 Token。,agent-skill-display
app.agents.config.login.savedLoginBound,The saved Claude login is bound to this agent now.,已保存的 Claude 登录现已绑定到此 Agent。,已保存的 Claude 登录现已绑定到此智能体。,agent-skill-display
app.issueDetail.errors.noAssigneeAgent,No assignee agent,没有负责人 Agent,没有负责人智能体,agent-skill-display
app.issueDetail.treeControl.wakeFailuresOne,"Pause released, but {{count}} task could not start. {{message}} Check the affected agents and try starting them again.",已解除暂停，但有 {{count}} 个任务未能启动。{{message}} 请检查相关 Agent 并重新启动。,已解除暂停，但有 {{count}} 个任务未能启动。{{message}} 请检查相关智能体并重新启动。,agent-skill-display
app.issueDetail.treeControl.wakeFailuresMany,"Pause released, but {{count}} tasks could not start. {{message}} Check the affected agents and try starting them again.",已解除暂停，但有 {{count}} 个任务未能启动。{{message}} 请检查相关 Agent 并重新启动。,已解除暂停，但有 {{count}} 个任务未能启动。{{message}} 请检查相关智能体并重新启动。,agent-skill-display
app.issueDetail.actors.agent,Agent,Agent,智能体,agent-skill-display
app.issueDetail.composer.agentChatDisabled,Agent Chat is disabled in Experimental settings.,Agent 对话已在实验性设置中关闭。,智能体对话已在实验性设置中关闭。,agent-skill-display
app.shared.reviewPolicy.notCreatorDescription,Anyone except whoever asked for the review can approve it.,除审核发起者之外，其他人或 Agent 都可以同意。,除审核发起者之外，其他人或智能体都可以同意。,agent-skill-display
app.shared.reviewPolicy.humanOnlyDescription,Only a person can approve this review. Agents cannot give the verdict.,只有人可以同意此审核，Agent 不能给出结论。,只有人可以同意此审核，智能体不能给出结论。,agent-skill-display
app.agentSetup.help.name,Display name for this agent.,此 Agent 的显示名称。,此智能体的显示名称。,agent-skill-display
app.agentSetup.help.reportsTo,The agent this one reports to in the org hierarchy.,此 Agent 在组织层级中的汇报对象。,此智能体在组织层级中的汇报对象。,agent-skill-display
app.agentSetup.help.capabilities,Describes what this agent can do. Shown in the org chart and used for task routing.,描述此 Agent 能做什么。显示在组织架构图中，并用于任务路由。,描述此智能体能做什么。显示在组织架构图中，并用于任务路由。,agent-skill-display
app.agentSetup.help.adapterType,"How this agent runs: local CLI (Claude/Codex/OpenCode), OpenClaw Gateway, spawned process, or generic HTTP webhook.",此 Agent 的运行方式：本地 CLI（Claude/Codex/OpenCode）、OpenClaw Gateway、派生进程或通用 HTTP webhook。,此智能体的运行方式：本地 CLI（Claude/Codex/OpenCode）、OpenClaw Gateway、派生进程或通用 HTTP webhook。,agent-skill-display
app.agentSetup.help.cwd,"Deprecated legacy working directory fallback for local adapters. Existing agents may still carry this value, but new configurations should use project workspaces instead.",本地适配器已弃用的旧版工作目录回退。现有 Agent 可能仍带有此值，但新配置应改用项目工作区。,本地适配器已弃用的旧版工作目录回退。现有智能体可能仍带有此值，但新配置应改用项目工作区。,agent-skill-display
app.agentSetup.help.workspaceStrategy,"How Paperclip should realize an execution workspace for this agent. Keep project_primary for normal cwd execution, or use git_worktree for issue-scoped isolated checkouts.",Paperclip 如何为此 Agent 创建执行工作区。常规 cwd 执行保持 project_primary，或使用 git_worktree 为每个任务隔离检出。,Paperclip 如何为此智能体创建执行工作区。常规 cwd 执行保持 project_primary，或使用 git_worktree 为每个任务隔离检出。,agent-skill-display
app.agentSetup.help.maxTurnsPerRun,Maximum number of agentic turns (tool calls) per heartbeat run.,每次心跳运行的最大 Agent 轮次（工具调用）数。,每次心跳运行的最大智能体轮次（工具调用）数。,agent-skill-display
app.agentSetup.help.secretAccess,Secrets this agent can reach. Env-var bindings are injected at run start; API-access bindings are fetched on demand via the run-bound agent API and never written to the environment.,此 Agent 可访问的密钥。环境变量绑定在运行开始时注入；API 访问绑定通过与运行绑定的 Agent API 按需获取，绝不写入环境。,此智能体可访问的密钥。环境变量绑定在运行开始时注入；API 访问绑定通过与运行绑定的智能体 API 按需获取，绝不写入环境。,agent-skill-display
app.agentSetup.help.webhookUrl,The URL that receives POST requests when the agent is invoked.,调用 Agent 时接收 POST 请求的 URL。,调用智能体时接收 POST 请求的 URL。,agent-skill-display
app.agentSetup.help.heartbeatInterval,Run this agent automatically on a timer. Useful for periodic tasks like checking for new work.,按定时器自动运行此 Agent。适合检查新工作等周期性任务。,按定时器自动运行此智能体。适合检查新工作等周期性任务。,agent-skill-display
app.agentSetup.help.wakeOnDemand,"Allow this agent to be woken by assignments, API calls, UI actions, or automated systems.",允许通过任务分配、API 调用、界面操作或自动化系统唤醒此 Agent。,允许通过任务分配、API 调用、界面操作或自动化系统唤醒此智能体。,agent-skill-display
app.agentSetup.help.maxConcurrentRuns,Maximum number of heartbeat runs that can execute simultaneously for this agent.,此 Agent 可同时执行的最大心跳运行数。,此智能体可同时执行的最大心跳运行数。,agent-skill-display
app.agentSetup.setup.selectOrg,Select an organization to create an agent.,请选择一个组织以创建 Agent。,请选择一个组织以创建智能体。,agent-skill-display
app.agentSetup.setup.errors.cursorKey,Enter a Cursor API key.,请输入 Cursor API key。,请输入 Cursor API 密钥。,credential-key-display
app.agentSetup.setup.errors.testFailed,Could not test the agent.,无法测试 Agent。,无法测试智能体。,agent-skill-display
app.agentSetup.setup.errors.createFailed,Could not create the agent.,无法创建 Agent。,无法创建智能体。,agent-skill-display
app.agentSetup.setup.errors.loadCreated,Could not load the created agent. Return to Agents to view it.,无法加载已创建的 Agent。请返回 Agent 列表查看。,无法加载已创建的智能体。请返回智能体列表查看。,agent-skill-display
app.agentSetup.setup.loadingAgent,Loading your agent…,正在加载你的 Agent…,正在加载你的智能体…,agent-skill-display
app.agentSetup.setup.steps.aria,Agent setup steps,Agent 设置步骤,智能体设置步骤,agent-skill-display
app.agentSetup.setup.submittedForApproval,Agent submitted for approval,Agent 已提交审批,智能体已提交审批,agent-skill-display
app.agentSetup.setup.ready,Your agent is ready,你的 Agent 已就绪,你的智能体已就绪,agent-skill-display
app.agentSetup.setup.pendingApprovalNote,An organization administrator must approve this agent before it can work.,需要组织管理员同意后，此 Agent 才能开始工作。,需要组织管理员同意后，此智能体才能开始工作。,agent-skill-display
app.agentSetup.setup.readyNote,Assign a task when you’re ready for this agent to work.,准备好让此 Agent 工作时，给它分配一个任务。,准备好让此智能体工作时，给它分配一个任务。,agent-skill-display
app.agentSetup.setup.configureTitle,Configure your agent,配置你的 Agent,配置你的智能体,agent-skill-display
app.agentSetup.setup.apiKeyProvider,API key provider,API key 提供方,API 密钥提供方,credential-key-display
app.agentSetup.setup.usingSavedKey,Using saved key,使用已保存的 key,使用已保存的密钥,credential-key-display
app.agentSetup.setup.getApiKey,get api key,获取 API key,获取 API 密钥,credential-key-display
app.agentSetup.setup.newKeysNote,New keys are saved as organization secrets when you finish setup.,完成设置时，新 key 会保存为组织密钥。,完成设置时，新密钥会保存为组织密钥。,credential-key-display
app.agentSetup.setup.newKeysNoteWithProvider,New keys are saved as organization secrets when you finish setup. Use a {{provider}}/model ID.,完成设置时，新 key 会保存为组织密钥。请使用 {{provider}}/model 格式的 ID。,完成设置时，新密钥会保存为组织密钥。请使用 {{provider}}/model 格式的 ID。,credential-key-display
app.agentSetup.setup.hermesUrl,Hermes API base URL,Hermes API base URL,Hermes API 基础 URL,contextual-correction
app.agentSetup.setup.kimiBaseUrl,Kimi API base URL,Kimi API base URL,Kimi API 基础 URL,contextual-correction
app.agentSetup.basics.progressAria,New agent progress,新建 Agent 进度,新建智能体进度,agent-skill-display
app.agentSetup.basics.nameTitle,Meet your next agent,认识你的下一个 Agent,认识你的下一个智能体,agent-skill-display
app.agentSetup.basics.nameDescription,Start with a name. Make them your own.,先起个名字，让它成为你的专属 Agent。,先起个名字，让它成为你的专属智能体。,agent-skill-display
app.agentSetup.basics.agentName,Agent name,Agent 名称,智能体名称,agent-skill-display
app.agentSetup.basics.invite,Invite an external agent,邀请外部 Agent,邀请外部智能体,agent-skill-display
app.agentSetup.basics.configureAgent,Configure agent,配置 Agent,配置智能体,agent-skill-display
app.agentSetup.connection.savedKeysOne,{{n}} saved API key available.,有 {{n}} 个已保存的 API key 可用。,有 {{n}} 个已保存的 API 密钥可用。,credential-key-display
app.agentSetup.connection.savedKeysMany,{{n}} saved API keys available.,有 {{n}} 个已保存的 API key 可用。,有 {{n}} 个已保存的 API 密钥可用。,credential-key-display
app.agentSetup.connection.chooseSavedKey,Choose a saved API key or enter a new one,选择已保存的 API key 或输入新的 key,选择已保存的 API 密钥或输入新的密钥,credential-key-display;contextual-correction
app.agentSetup.connection.provideKey,Provide your {{provider}} API key to connect,提供你的 {{provider}} API key 以连接,提供你的 {{provider}} API 密钥以连接,credential-key-display
app.agentSetup.connection.keyEntered,Key entered. Retry the connection.,已输入 key。请重试连接。,已输入密钥。请重试连接。,credential-key-display
app.agentSetup.connection.enterKey,Enter API key here,在此输入 API key,在此输入 API 密钥,credential-key-display
app.agentSetup.connection.useSavedClaude,Use your saved Claude subscription for this agent.,为此 Agent 使用你已保存的 Claude 订阅。,为此智能体使用你已保存的 Claude 订阅。,agent-skill-display
app.agentSetup.connection.noBrowserSignIn,This environment does not support browser sign-in. Choose a sign-in environment or connect with an API key.,此环境不支持浏览器登录。请选择支持登录的环境，或使用 API key 连接。,此环境不支持浏览器登录。请选择支持登录的环境，或使用 API 密钥连接。,credential-key-display
app.agentSetup.connection.useSavedApiKey,Use saved API key,使用已保存的 API key,使用已保存的 API 密钥,credential-key-display
app.agentSetup.invite.promptTitle,Agent onboarding prompt,Agent 接入提示词,智能体接入提示词,agent-skill-display
app.agentSetup.invite.promptDescription,Send this one-time prompt to the agent that should join your organization.,将这条一次性提示词发送给要加入你组织的 Agent。,将这条一次性提示词发送给要加入你组织的智能体。,agent-skill-display
app.agentSetup.invite.description,Generate a one-time onboarding prompt for an external agent. An organization admin must approve its join request before it can claim an API key.,为外部 Agent 生成一次性接入提示词。组织管理员同意其加入请求后，它才能领取 API key。,为外部智能体生成一次性接入提示词。组织管理员同意其加入请求后，它才能领取 API 密钥。,agent-skill-display;credential-key-display
app.agentSetup.invite.optionalMessage,Optional message for the agent,给 Agent 的附言（可选）,给智能体的附言（可选）,agent-skill-display
app.agentDetail.nav.skills,Skills,Skill,技能,agent-skill-display
app.agentDetail.discardConfigChanges,Discard unsaved agent configuration changes?,要放弃未保存的 Agent 配置更改吗？,要放弃未保存的智能体配置更改吗？,agent-skill-display
app.agentDetail.errors.noAgentReference,No agent reference,缺少 Agent 引用,缺少智能体引用,agent-skill-display
app.agentDetail.breadcrumbs.agents,Agents,Agent,智能体,agent-skill-display
app.agentDetail.breadcrumbs.agent,Agent,Agent,智能体,agent-skill-display
app.agentDetail.leftNotice,You left this agent. It no longer appears in your sidebar.,你已离开此 Agent，它不会再出现在你的侧边栏中。,你已离开此智能体，它不会再出现在你的侧边栏中。,agent-skill-display
app.agentDetail.dismissLeftNotice,Dismiss agent membership notice,关闭 Agent 成员提示,关闭智能体成员提示,agent-skill-display
app.agentDetail.invalidChain.guidance,"Assign this agent to an active manager/root, or explicitly pause or terminate the affected agent/subtree.",请将此 Agent 分配给一个活跃的上级/根节点，或明确暂停或终止受影响的 Agent/子树。,请将此智能体分配给一个活跃的上级或根节点，或明确暂停或终止受影响的智能体或子树。,agent-skill-display;contextual-correction
app.agentDetail.header.repairChainReason,Repair this agent's reporting chain before assigning tasks or starting runs,请先修复此 Agent 的汇报链，再分配任务或启动运行,请先修复此智能体的汇报链，再分配任务或启动运行,agent-skill-display
app.agentDetail.builtIn.pauseDescription,"{{feature}} depends on this agent. While paused, {{featureLower}} generation is skipped and the {{feature}} page shows a warning.",{{feature}} 依赖此 Agent。暂停期间将跳过 {{featureLower}} 生成，{{feature}} 页面会显示警告。,{{feature}} 依赖此智能体。暂停期间将跳过 {{featureLower}} 生成，{{feature}} 页面会显示警告。,agent-skill-display
app.agentDetail.builtIn.title,Built-in agent,内置 Agent,内置智能体,agent-skill-display
app.agentDetail.builtIn.description,"Ships with Paperclip and powers <hl>{{feature}}</hl>. Configure it like any agent — model, instructions, budget. It can be paused but not deleted; pausing it pauses {{feature}}.",随 Paperclip 提供，为 <hl>{{feature}}</hl> 提供支持。你可以像配置其他 Agent 一样配置它（模型、指令、预算）。它可以暂停但不能删除；暂停它会同时暂停 {{feature}}。,随 Paperclip 提供，为 <hl>{{feature}}</hl> 提供支持。你可以像配置其他智能体一样配置它（模型、指令、预算）。它可以暂停但不能删除；暂停它会同时暂停 {{feature}}。,agent-skill-display
app.agentDetail.pendingApproval.body,This agent is pending board approval and cannot be invoked yet.,此 Agent 正在等待 Board 审批，暂时无法调用。,此智能体正在等待 Board 审批，暂时无法调用。,agent-skill-display
app.agentDetail.pendingApproval.approve,Approve agent,同意启用 Agent,同意启用智能体,agent-skill-display
app.agentDetail.overview.noSkills,No skills enabled.,未启用 Skill。,未启用技能。,agent-skill-display
app.agentDetail.config.saved,Agent saved,Agent 已保存,智能体已保存,agent-skill-display
app.agentDetail.config.saveFailedBody,Could not save agent,无法保存 Agent,无法保存智能体,agent-skill-display
app.agentDetail.config.agentIdentity,Agent identity,Agent 身份,智能体身份,agent-skill-display
app.agentDetail.permissions.assignHint.ceoRole,Enabled automatically for CEO agents.,CEO Agent 自动启用。,CEO 智能体自动启用。,agent-skill-display
app.agentDetail.permissions.assignHint.agentCreator,Enabled automatically while this agent can create new agents.,此 Agent 可创建新 Agent 时自动启用。,此智能体可创建新智能体时自动启用。,agent-skill-display
app.agentDetail.permissions.canCreateAgents,Can create new agents,可创建新 Agent,可创建新智能体,agent-skill-display
app.agentDetail.permissions.canCreateAgentsHint,Lets this agent create or hire agents. This also grants task assignment authority.,允许此 Agent 创建或招聘 Agent，同时授予任务分配权限。,允许此智能体创建或招聘智能体，同时授予任务分配权限。,agent-skill-display
app.agentDetail.permissions.canCreateSkills,Can create/import skills,可创建/导入 Skill,可创建/导入技能,agent-skill-display
app.agentDetail.permissions.canCreateSkillsHint,"Lets this agent install, import, create, and scan organization skills without creating agents.",允许此 Agent 安装、导入、创建和扫描组织 Skill，而无需创建 Agent。,允许此智能体安装、导入、创建和扫描组织技能，而无需创建智能体。,agent-skill-display
app.agentDetail.instructions.entryFileHelp,The main file the agent reads first when loading instructions. Defaults to AGENTS.md.,Agent 加载指令时首先读取的主文件，默认为 AGENTS.md。,智能体加载指令时首先读取的主文件，默认为 AGENTS.md。,agent-skill-display
